Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Vlade Divac,Bucks,51.72,1622.32,23.52,9.95,19.13,52.01,2924
Sharone Wright,Bucks,51.69,1254.64,25.07,7.17,13.84,51.76,2428
Shawn Bradley,Bucks,45.84,582.44,15.31,3.36,7.64,44.04,2122
Vitaly Potapenko,Bucks,47.81,184.08,32.37,1.68,3.55,47.43,292
Dennis Scott,Bucks,55.09,1168.16,21.71,7.4,15.11,48.98,2690
Alain Digbeu,Bucks,57.31,719.8,19.46,6.45,12.22,52.8,1742
Rodrick Rhodes,Bucks,33.33,3.0,4.42,0.1,0.4,23.6,24
Kendall Gill,Bucks,58.41,1414.92,22.84,9.18,16.83,54.57,2667
Bryon Wilson,Bucks,48.62,238.6,10.45,1.65,3.47,47.51,1275
Brevin Knight,Bucks,46.52,548.12,13.22,5.49,10.96,50.05,2854
Drew Barry,Bucks,45.45,33.0,16.68,0.81,1.53,52.69,155
Paul Rouseau,Bucks,71.5,56.64,17.68,0.82,1.85,44.16,305
Eric Leckner,Bullets,48.73,743.92,18.8,4.77,10.43,45.74,2005
Zydrunas Ilgauskas,Bullets,51.65,505.36,17.64,3.49,6.64,52.57,1555
Juwan Howard,Bullets,49.78,847.8,18.99,5.37,10.88,49.4,2314
Rubén Wolkowyski,Bullets,48.61,527.68,18.55,3.27,6.52,50.19,1456
Sean Higgins,Bullets,53.54,1172.88,22.44,6.65,13.89,47.87,2450
Eric Williams,Bullets,52.09,241.88,9.96,1.48,3.21,46.05,1256
Kurt Thomas,Bullets,56.63,60.92,24.51,1.6,3.2,49.96,170
Jerome Williams,Bullets,30.36,9.88,8.18,0.34,1.23,27.25,60
Mitch Richmond,Bullets,56.27,1626.84,27.09,10.28,20.55,50.03,2694
Mica Beric,Bullets,50.93,276.84,11.66,1.61,3.34,48.14,1037
Kenny Anderson,Bullets,54.18,1727.52,25.01,13.28,24.17,54.96,3015
Winston Garland,Bullets,51.89,327.6,24.71,2.63,4.85,54.16,736
Dikembe Mutombo,Mavericks,44.25,767.28,15.37,4.53,10.79,41.95,2759
Milos Babic,Mavericks,48.93,181.88,20.51,1.65,3.5,46.98,474
Rony Seikaly,Mavericks,49.21,757.96,22.02,4.33,9.73,44.5,1699
Greg Foster,Mavericks,48.58,615.44,13.48,3.97,8.4,47.33,2405
LaPhonso Ellis,Mavericks,53.03,1206.88,24.99,8.7,17.17,50.7,2287
LeRon Ellis,Mavericks,49.49,502.16,21.58,3.19,7.0,45.58,1396
Aaron Williams,Mavericks,100.0,1.0,13.33,0.73,0.73,100.0,6
Ira Newble,Mavericks,46.65,98.6,8.72,1.02,2.5,40.7,706
Jim Jackson,Mavericks,58.77,1234.52,22.37,12.37,24.08,51.37,1919
Cedric Ceballos,Mavericks,55.27,607.88,23.22,4.46,8.42,52.99,1269
Donny Marshall,Mavericks,47.8,34.52,22.86,1.19,2.53,46.99,101
Kevin Ollie,Mavericks,55.0,1440.04,23.11,11.66,20.64,56.51,2977
Michael Hawkins,Mavericks,50.36,192.6,19.74,2.39,4.44,53.96,544
Eric Snow,Mavericks,50.81,127.92,16.7,2.11,4.14,50.98,457
Serge Zwikker,Nuggets,48.28,739.4,16.5,4.85,9.76,49.67,2305
Efthimios Rentzias,Nuggets,49.43,367.2,19.27,3.8,7.25,52.37,983
Predrag Drobnjak,Nuggets,46.7,262.32,16.49,3.16,6.78,46.57,766
